x,y,speed,time,angle
2048,-2560,-0.002,0,2.35619
2047.9099,-2559.95,12.397,0.008333206,2.35696
2047.72,-2559.8398,24.745,0.016666889,2.3585
2047.4399,-2559.6799,37.0373,0.025000095,2.3608
2047.0699,-2559.47,49.2711,0.033333302,2.36377
2046.61,-2559.2,61.5023,0.041666985,2.36751
2046.0599,-2558.8799,73.5708,0.050000191,2.37192
2045.4299,-2558.51,85.6405,0.058333397,2.3769
2044.71,-2558.0898,97.6628,0.066666603,2.38266
2043.8999,-2557.6199,109.7905,0.075000286,2.38889
2043,-2557.0999,121.5408,0.083333492,2.39579
2042.0199,-2556.53,133.3958,0.091666698,2.40317
2040.95,-2555.9099,145.1891,0.099999905,2.41123
2039.7899,-2555.24,157.202,0.108333588,2.41976
2038.5399,-2554.53,168.5935,0.116666794,2.42877
2037.21,-2553.78,180.1996,0.125,2.43836
2035.7899,-2552.98,191.7381,0.133333206,2.44833
2034.2799,-2552.1399,203.5938,0.141666889,2.45868
2032.6799,-2551.27,214.5924,0.150000095,2.46971
2031,-2550.3599,225.9157,0.158333302,2.48102
2029.23,-2549.4199,237.1524,0.166666985,2.49272
2027.37,-2548.45,248.7998,0.175000191,2.50499
2025.4199,-2547.45,259.3802,0.183333397,2.51745
2023.38,-2546.4199,270.3693,0.191666603,2.5304
2021.25,-2545.3699,281.276,0.200000286,2.54363
2019.0299,-2544.3,292.6524,0.208333492,2.55715
2016.72,-2543.21,302.8177,0.216666698,2.57095
2014.33,-2542.1099,313.4455,0.224999905,2.58524
2011.84,-2540.99,323.9903,0.233333588,2.59962
2009.26,-2539.8599,335.0433,0.241666794,2.61448
2006.59,-2538.73,344.7851,0.25,2.62953
2003.83,-2537.5898,355.0404,0.258333206,2.64487
2000.98,-2536.45,365.2008,0.266666889,2.6604
1998.0399,-2535.3198,375.8798,0.275000095,2.67613
1995.01,-2534.1899,385.2161,0.283333302,2.69214
1991.89,-2533.0698,395.0693,0.291666985,2.70843
1988.6799,-2531.97,404.8248,0.300000191,2.72483
1985.38,-2530.8799,415.091,0.308333397,2.74142
1982,-2529.8101,424.0177,0.316666603,2.75819
1978.5299,-2528.76,433.4681,0.325000286,2.77516
1974.97,-2527.74,442.8125,0.333333492,2.79223
1971.3199,-2526.75,452.6422,0.341666698,2.80958
1967.59,-2525.79,461.1998,0.349999905,2.82693
1963.7699,-2524.8699,470.2356,0.358333588,2.84458
1959.86,-2523.98,479.1821,0.366666794,2.86222
1955.87,-2523.1399,488.5644,0.375,2.88005
1951.7999,-2522.3398,496.7593,0.383333206,2.89798
1947.6499,-2521.5898,505.4031,0.391666889,2.916
1943.4199,-2520.8899,513.9345,0.400000095,2.93412
1939.11,-2520.25,522.8292,0.408333302,2.95234
1934.72,-2519.6699,530.6407,0.416666985,2.97065
1930.25,-2519.1499,538.8335,0.425000191,2.98896
1925.71,-2518.6899,546.9155,0.433333397,3.00766
1921.1,-2518.3,555.3264,0.441666603,3.02635
1916.4099,-2517.99,562.7762,0.450000286,3.04505
1911.6599,-2517.75,570.5493,0.458333492,3.06393
1906.84,-2517.5898,578.2259,0.466666698,3.08292
1901.95,-2517.51,586.1705,0.474999905,3.1019
1897,-2517.51,593.285,0.483333588,3.12117
1891.99,-2517.5999,600.6741,0.491666794,3.14044
1886.9199,-2517.78,607.9662,0.5,3.159805307
1881.7999,-2518.05,615.466,0.508333206,3.179275307
1876.62,-2518.4199,622.2794,0.516666889,3.198825307
1871.39,-2518.8799,629.3015,0.525000095,3.218485307
1866.12,-2519.4399,636.2305,0.533333302,3.238135307
1860.7999,-2520.1099,643.3059,0.541666985,3.257885307
1855.4399,-2520.8799,649.8262,0.550000191,3.277825307
1850.0399,-2521.76,656.4956,0.558333397,3.297675307
1844.6,-2522.75,663.076,0.566666603,3.317715307
1839.13,-2523.8499,669.73,0.575000286,3.337755307
1833.63,-2525.0601,675.98,0.583333492,3.357885307
1828.1,-2526.3799,682.3073,0.591666698,3.378015307
1822.5499,-2527.8198,688.5531,0.599999905,3.398245307
1816.97,-2529.3799,694.7982,0.608333588,3.418575307
1811.38,-2531.0601,700.7983,0.616666794,3.438995307
1805.77,-2532.8599,706.8022,0.625,3.459225307
1800.1499,-2534.78,712.7273,0.633333206,3.479645307
1794.52,-2536.8298,718.586,0.641666889,3.500255307
1788.89,-2539,724.3544,0.650000095,3.520675307
1783.26,-2541.3,730.0528,0.658333302,3.541195307
1777.63,-2543.73,735.6763,0.666666985,3.561805307
1772.01,-2546.28,741.1701,0.675000191,3.582325307
1766.3999,-2548.96,746.716,0.683333397,3.603125307
1760.7999,-2551.77,752.125,0.691666603,3.623645307
1755.22,-2554.71,757.4673,0.700000286,3.644355307
1749.6599,-2557.78,762.6091,0.708333492,3.665065307
1744.12,-2560.98,767.9578,0.716666698,3.685775307
1738.61,-2564.3101,773.0987,0.724999905,3.706575307
1733.13,-2567.78,778.1748,0.733333588,3.727385307
1727.6799,-2571.3799,782.9898,0.741666794,3.748095307
1722.27,-2575.1099,788.1399,0.75,3.768895307
1716.8999,-2578.97,793.0273,0.758333206,3.789795307
1711.58,-2582.96,797.854,0.766666889,3.810595307
1706.3099,-2587.0798,802.3481,0.775000095,3.831505307
1701.09,-2591.3298,807.3266,0.783333302,3.852405307
1695.9299,-2595.71,811.9741,0.791666985,3.873105307
1690.83,-2600.21,816.5627,0.800000191,3.894005307
1685.7899,-2604.8398,820.7686,0.808333397,3.914815307
1680.8199,-2609.5999,825.5816,0.816666603,3.935715307
1675.9199,-2614.48,830.0053,0.825000286,3.956615307
1671.09,-2619.49,834.3763,0.833333492,3.977515307
1666.34,-2624.6199,838.3061,0.841666698,3.998325307
1661.6699,-2629.8699,842.9573,0.849999905,4.019225307
1657.09,-2635.24,847.1711,0.858333588,4.040125307
1652.6,-2640.73,851.3328,0.866666794,4.060925307
1648.2,-2646.3398,855.0059,0.875,4.081825307
1643.89,-2652.0601,859.5093,0.883333206,4.102635307
1639.6799,-2657.8999,863.5262,0.891666889,4.123535307
1635.5699,-2663.8499,867.493,0.900000095,4.144335307
1631.5599,-2669.9099,870.9226,0.908333302,4.165145307
1627.6599,-2676.0698,875.2955,0.916666508,4.186045307
1623.87,-2682.3398,879.1273,0.924999714,4.206845307
1620.1899,-2688.71,882.9184,0.933333874,4.227555307
1616.62,-2695.1799,886.1263,0.94166708,4.248355307
1613.1699,-2701.75,890.3678,0.950000286,4.269065307
1609.84,-2708.4199,894.0319,0.958333492,4.289875307
1606.63,-2715.1799,897.6548,0.966666698,4.310585307
1603.5499,-2722.03,900.6551,0.974999905,4.331295307
1600.6,-2728.97,904.7758,0.983333111,4.351995307
1597.7799,-2736,908.2795,0.991666317,4.372705307
1595.09,-2743.1099,911.7453,1.000000477,4.393415307
1592.5399,-2750.3,914.5451,1.008333683,4.414125307
1590.12,-2757.5698,918.5591,1.016666889,4.434735307
1587.84,-2764.9099,921.9173,1.025000095,4.455355307
1585.7,-2772.3198,925.2352,1.033333302,4.475965307
1583.71,-2779.8,927.8534,1.041666508,4.496575307
1581.86,-2787.3398,931.7615,1.049999714,4.517095307
1580.1599,-2794.95,934.9722,1.058333874,4.537615307
1578.61,-2802.6099,938.1496,1.06666708,4.558225307
1577.21,-2810.3298,940.6073,1.075000286,4.578645307
1575.96,-2818.0999,944.4101,1.083333492,4.599165307
1574.86,-2825.9199,947.4945,1.091666698,4.619675307
1573.9199,-2833.79,950.5435,1.099999905,4.640095307
1573.13,-2841.7,952.8428,1.108333111,4.660525307
1572.5,-2849.6499,956.5475,1.116666317,4.680845307
1572.0299,-2857.6399,959.5104,1.125000477,4.701265307
1571.72,-2865.6599,962.4412,1.133333683,4.721595307
1571.5699,-2873.71,964.5901,1.141666889,4.741915307
1571.58,-2881.78,968.2103,1.150000095,4.762245307
1571.75,-2889.8699,971.0512,1.158333302,4.782565307
1572.09,-2897.98,973.8631,1.166666508,4.802705307
1572.59,-2906.1099,975.8813,1.174999714,4.822935307
1573.25,-2914.25,979.4149,1.183333874,4.843165307
1574.08,-2922.3999,982.1427,1.19166708,4.863485307
1575.0699,-2930.55,984.8453,1.200000286,4.883615307
1576.23,-2938.7,986.7318,1.208333492,4.903755307
1577.5499,-2946.8499,990.185,1.216666698,4.923695307
1579.0399,-2954.99,992.8153,1.224999905,4.943735307
1580.7,-2963.1199,995.4229,1.233333111,4.963865307
1582.52,-2971.24,997.1851,1.241666317,4.983805307
1584.51,-2979.3398,1000.5591,1.250000477,5.003945307
1586.6599,-2987.4199,1003.0908,1.258333683,5.023785307
1588.98,-2995.48,1005.5971,1.266666889,5.043825307
1591.46,-3003.51,1007.2381,1.275000095,5.063675307
1594.11,-3011.51,1010.5198,1.283333302,5.083705307
1596.9199,-3019.47,1012.9385,1.291666508,5.103455307
1599.9,-3027.3999,1015.3464,1.299999714,5.123305307
1603.0399,-3035.28,1016.8679,1.308333874,5.143245307
1606.34,-3043.1199,1020.0683,1.31666708,5.163095307
1609.7999,-3050.9099,1022.3899,1.325000286,5.182935307
1613.4199,-3058.6499,1024.6844,1.333333492,5.202875307
1617.2,-3066.3298,1026.095,1.341666698,5.222625307
1621.14,-3073.95,1029.211,1.349999905,5.242475307
1625.24,-3081.51,1031.4329,1.358333111,5.262325307
1629.5,-3089,1033.6331,1.366666317,5.282265307
1633.9199,-3096.4199,1034.9243,1.375000477,5.302015307
1638.49,-3103.77,1037.9581,1.383333683,5.321855307
1643.21,-3111.04,1040.0911,1.391666889,5.341705307
1648.09,-3118.23,1042.1912,1.400000095,5.361555307
1653.12,-3125.3398,1043.3651,1.408333302,5.381395307
1658.2999,-3132.3599,1046.3304,1.416666508,5.401245307
1663.62,-3139.29,1048.3705,1.424999714,5.421085307
1669.09,-3146.1299,1050.3861,1.433333874,5.440935307
1674.7,-3152.8699,1051.4557,1.44166708,5.460775307
1680.46,-3159.51,1054.3493,1.450000286,5.480625307
1686.36,-3166.05,1056.2968,1.458333492,5.500475307
1692.3999,-3172.49,1058.2255,1.466666698,5.520315307
1698.5699,-3178.8198,1059.1875,1.474999905,5.540165307
1704.88,-3185.04,1062.0092,1.483333111,5.560005307
1711.3199,-3191.1399,1063.8686,1.491666317,5.579955307
1717.89,-3197.1199,1065.7016,1.500000477,5.599705307
1724.59,-3202.98,1066.553,1.508333683,5.619645307
1731.4099,-3208.72,1069.3133,1.516666889,5.639395307
1738.36,-3214.3298,1071.088,1.525000095,5.659235307
1745.4299,-3219.8098,1072.8419,1.533333302,5.679185307
1752.62,-3225.1599,1073.5955,1.541666508,5.699025307
1759.9199,-3230.3799,1076.2949,1.549999714,5.718875307
1767.34,-3235.46,1077.9906,1.558333874,5.738715307
1774.87,-3240.3999,1079.6722,1.56666708,5.758565307
1782.5,-3245.2,1080.329,1.575000286,5.778505307
1790.24,-3249.8499,1082.9698,1.583333492,5.798255307
1798.08,-3254.3599,1084.5948,1.591666698,5.818105307
1806.02,-3258.72,1086.1958,1.599999905,5.838045307
1814.0599,-3262.9299,1086.7581,1.608333111,5.857885307
1822.1899,-3266.98,1089.3379,1.616666317,5.877735307
1830.4099,-3270.8799,1090.8827,1.625000477,5.897585307
1838.72,-3274.6199,1092.4114,1.633333683,5.917425307
1847.11,-3278.2,1092.883,1.641666889,5.937365307
1855.58,-3281.6199,1095.414,1.650000095,5.957215307
1864.13,-3284.8799,1096.8939,1.658333302,5.977055307
1872.75,-3287.97,1098.35,1.666666508,5.996905307
1881.4399,-3290.8899,1098.7524,1.674999714,6.016755307
1890.2,-3293.6399,1101.2278,1.683333874,6.036695307
1899.0299,-3296.22,1102.6325,1.69166708,6.056535307
1907.9199,-3298.6299,1104.0275,1.700000286,6.076385307
1916.86,-3300.8699,1104.3332,1.708333492,6.096325307
1925.86,-3302.9299,1106.7611,1.716666698,6.116075307
1934.9099,-3304.8198,1108.1129,1.724999905,6.135925307
1944,-3306.53,1109.4449,1.733333111,6.155865307
1953.14,-3308.0598,1109.678,1.741666317,6.175715307
1962.3199,-3309.4099,1112.0634,1.750000477,6.195555307
1971.5299,-3310.5798,1113.352,1.758333683,6.215405307
1980.7699,-3311.5698,1114.6264,1.766666889,6.235345307
1990.0399,-3312.3799,1114.7949,1.775000095,6.255095307
1999.34,-3313.01,1117.1381,1.783333302,6.274935307
2008.6599,-3313.46,1118.3712,1.791666508,6.294785307
2017.99,-3313.72,1119.5886,1.799999714,6.314635307
2027.34,-3313.7998,1119.6877,1.808333874,6.334475307
2036.7,-3313.6899,1121.9828,1.81666708,6.354415307
2046.0599,-3313.3999,1123.1572,1.825000286,6.374265307
2055.4199,-3312.9199,1124.3169,1.833333492,6.394115307
2064.78,-3312.26,1124.3495,1.841666698,6.413955307
2074.1399,-3311.4099,1126.6115,1.849999905,6.433805307
2083.49,-3310.3699,1127.7366,1.858333111,6.453555307
2092.8298,-3309.1499,1128.8498,1.866666317,6.473495307
2102.1499,-3307.74,1128.8152,1.875000477,6.493345307
2111.45,-3306.1499,1131.0313,1.883333683,6.513185307
2120.72,-3304.3699,1132.1099,1.891666889,6.533035307
2129.97,-3302.4099,1133.1697,1.900000095,6.552785307
2139.1799,-3300.26,1133.0925,1.908333302,6.572535307
2148.3599,-3297.9299,1135.275,1.916666508,6.592375307
2157.5,-3295.4199,1136.297,1.924999714,6.612315307
2166.5999,-3292.72,1137.3038,1.933333874,6.632165307
2175.6499,-3289.8398,1137.1598,1.94166708,6.652015307
2184.6499,-3286.78,1139.3061,1.950000286,6.671855307
2193.5898,-3283.54,1140.2934,1.958333492,6.691605307
2202.47,-3280.1199,1141.2671,1.966666698,6.711455307
2211.29,-3276.52,1141.0643,1.974999905,6.731295307
2220.05,-3272.75,1143.1788,1.983333111,6.751145307
2228.74,-3268.8,1144.1147,1.991666317,6.770895307
2237.3599,-3264.6799,1145.0489,2.000000477,6.790745307
2245.8999,-3260.3899,1144.7996,2.008333683,6.810495307
2254.3599,-3255.9199,1146.8804,2.016666889,6.830435307
2262.74,-3251.28,1147.7789,2.025000095,6.850185307
2271.03,-3246.48,1148.6767,2.033333302,6.870025307
2279.23,-3241.51,1148.3741,2.041666508,6.889875307
2287.3398,-3236.3699,1150.4314,2.049999714,6.909625307
2295.3499,-3231.0698,1151.2985,2.058333874,6.929475307
2303.26,-3225.6099,1152.1488,2.06666708,6.949225307
2311.0601,-3219.99,1151.8051,2.075000286,6.969065307
2318.76,-3214.21,1153.8278,2.083333492,6.988915307
2326.3499,-3208.28,1154.6503,2.091666698,7.008665307
2333.8201,-3202.1899,1155.4687,2.099999905,7.028415307
2341.1799,-3195.95,1155.0838,2.108333111,7.048255307
2348.4199,-3189.5698,1157.0817,2.116666317,7.068105307
2355.54,-3183.04,1157.8721,2.125000477,7.087855307
2362.53,-3176.3699,1158.6577,2.133333683,7.107695307
2369.3899,-3169.55,1158.2287,2.141666889,7.127445307
2376.1199,-3162.5999,1160.1986,2.150000095,7.147195307
2382.72,-3155.51,1160.9627,2.158333302,7.167045307
2389.1799,-3148.29,1161.7081,2.166666508,7.186795307
2395.5,-3140.9399,1161.2322,2.174999714,7.206645307
2401.6799,-3133.46,1163.1722,2.183333874,7.226395307
2407.71,-3125.8499,1163.8975,2.19166708,7.246145307
2413.5898,-3118.1199,1164.6177,2.200000286,7.265985307
2419.3198,-3110.27,1164.119,2.208333492,7.285645307
2424.8999,-3102.3,1166.0323,2.216666698,7.305395307
2430.3298,-3094.22,1166.7307,2.224999905,7.325145307
2435.5999,-3086.03,1167.4215,2.233333111,7.345085307
2440.71,-3077.73,1166.874,2.241666317,7.364835307
2445.6599,-3069.3298,1168.7655,2.250000477,7.384585307
2450.4399,-3060.8298,1169.4318,2.258333683,7.404335307
2455.0601,-3052.23,1170.0959,2.266666889,7.424085307
2459.51,-3043.54,1169.5162,2.275000095,7.443925307
2463.79,-3034.76,1171.3891,2.283333302,7.463675307
2467.8999,-3025.8899,1172.0244,2.291666508,7.483425307
2471.8298,-3016.9299,1172.6517,2.299999714,7.503175307
2475.5898,-3007.8899,1172.0427,2.308333874,7.522925307
2479.1699,-2998.78,1173.8927,2.31666708,7.542675307
2482.5698,-2989.5898,1174.506,2.325000286,7.562425307
2485.79,-2980.3298,1175.1107,2.333333492,7.582175307
2488.8298,-2971.01,1174.4719,2.341666698,7.601925307
2491.6899,-2961.6199,1176.309,2.349999905,7.621585307
2494.3599,-2952.1699,1176.9025,2.358333111,7.641335307
2496.8499,-2942.6699,1177.4849,2.366666317,7.661085307
2499.1499,-2933.1199,1176.8122,2.375000477,7.680835307
2501.26,-2923.52,1178.6241,2.383333683,7.700585307
2503.1799,-2913.8699,1179.1868,2.391666889,7.720335307
2504.9199,-2904.1799,1179.7452,2.400000095,7.740085307
2506.46,-2894.46,1179.0363,2.408333302,7.759925307
2507.8101,-2884.7,1180.8333,2.416666508,7.779675307
2508.97,-2874.9099,1181.371,2.424999714,7.799235307
2509.9399,-2865.0999,1181.9125,2.433333874,7.818985307
2510.72,-2855.27,1181.1863,2.44166708,7.838735307
2511.3,-2845.4199,1182.9618,2.450000286,7.858585307
2511.6899,-2835.5601,1183.4774,2.458333492,7.878335307
2511.8799,-2825.6899,1183.9862,2.466666698,7.897985307
2511.8799,-2815.8101,1183.2391,2.474999905,7.917735307
2511.6799,-2805.9299,1184.9968,2.483333111,7.937485307
2511.29,-2796.05,1185.4942,2.491666317,7.957145307
2510.71,-2786.1699,1185.9877,2.500000477,7.976895307
2509.9299,-2776.3,1185.2114,2.508333683,7.996645307
2508.96,-2766.45,1186.9559,2.516666889,8.016295307
2507.79,-2756.6099,1187.4397,2.525000095,8.036045307
2506.4299,-2746.79,1187.9075,2.533333302,8.055795307
2504.8699,-2737,1187.1094,2.541666508,8.075445307
2503.1199,-2727.24,1188.8332,2.549999714,8.095195307
2501.1799,-2717.51,1189.2836,2.558333874,8.114855307
2499.05,-2707.8198,1189.7356,2.56666708,8.134605307
2496.73,-2698.1699,1188.9111,2.575000286,8.154255307
2494.22,-2688.5601,1190.6261,2.583333492,8.174005307
2491.52,-2679,1191.0596,2.591666698,8.193665307
2488.6299,-2669.49,1191.4968,2.599999905,8.213415307
2485.55,-2660.04,1190.6538,2.608333111,8.233065307
2482.28,-2650.6499,1192.353,2.616666317,8.252815307
2478.8298,-2641.3198,1192.7653,2.625000477,8.272475307
2475.1899,-2632.05,1193.1812,2.633333683,8.292125307
2471.3699,-2622.8499,1192.3097,2.641666889,8.311875307
2467.3699,-2613.73,1193.9904,2.650000095,8.331525307
2463.1899,-2604.6899,1194.3911,2.658333302,8.351275307
2458.8298,-2595.73,1194.7831,2.666666508,8.370935307
2454.29,-2586.8499,1193.8874,2.674999714,8.390685307
2449.5798,-2578.0601,1195.5561,2.683333874,8.410335307
2444.6899,-2569.3599,1195.9375,2.69166708,8.429895307
2439.6299,-2560.76,1196.3267,2.700000286,8.449645307
2434.3999,-2552.25,1195.4099,2.708333492,8.469395307
2429.01,-2543.8499,1197.0725,2.716666698,8.489045307
2423.45,-2535.55,1197.4484,2.724999905,8.508705307
2417.73,-2527.3599,1197.8162,2.733333111,8.528455307
2411.8398,-2519.28,1196.8867,2.741666317,8.548105307
2405.79,-2511.3198,1198.5393,2.750000477,8.567665307
2399.5898,-2503.47,1198.9013,2.758333683,8.587415307
2393.23,-2495.75,1199.2449,2.766666889,8.607065307
2386.72,-2488.1499,1198.2985,2.775000095,8.626825307
2380.0601,-2480.6799,1199.9332,2.783333302,8.646475307
2373.25,-2473.3398,1200.273,2.791666508,8.666035307
2366.3,-2466.1299,1200.6157,2.799999714,8.685785307
2359.21,-2459.0601,1199.6514,2.808333874,8.705435307
2351.98,-2452.1299,1201.2742,2.81666708,8.725095307
2344.6099,-2445.3398,1201.6021,2.825000286,8.744745307
2337.0999,-2438.6899,1201.9282,2.833333492,8.764305307
2329.46,-2432.1899,1200.9488,2.841666698,8.784055307
2321.7,-2425.8398,1202.5642,2.849999905,8.803705307
2313.8101,-2419.6399,1202.8808,2.858333111,8.823365307
2305.8,-2413.5898,1203.1934,2.866666317,8.843115307
2297.6699,-2407.7,1202.2035,2.875000477,8.862665307
2289.4199,-2401.97,1203.8028,2.883333683,8.882415307
2281.0601,-2396.3999,1204.0982,2.891666889,8.902075307
2272.5898,-2391,1204.398,2.900000095,8.921725307
2264.01,-2385.76,1203.392,2.908333302,8.941385307
2255.3298,-2380.6899,1204.987,2.916666508,8.960845307
2246.55,-2375.79,1205.2892,2.924999714,8.980595307
2237.6699,-2371.0601,1205.5703,2.933333874,9.000245307
2228.7,-2366.51,1204.5655,2.94166708,9.019805307
2219.6399,-2362.1299,1206.1471,2.950000286,9.039555307
2210.49,-2357.9299,1206.424,2.958333492,9.059215307
2201.26,-2353.9099,1206.697,2.966666698,9.078865307
2191.95,-2350.0701,1205.6647,2.974999905,9.098515307
2182.5701,-2346.4099,1207.2402,2.983333111,9.118075307
2173.1099,-2342.9399,1207.5179,2.991666317,9.137825307
2163.5898,-2339.6499,1207.7789,3.000000477,9.157385307
2154,-2336.55,1206.7453,3.008333683,9.176945307
2144.3499,-2333.6399,1208.3122,3.016666889,9.196695307
2134.6399,-2330.9199,1208.5632,3.025000095,9.216345307
2124.8799,-2328.3899,1208.8145,3.033333302,9.236005307
2115.0701,-2326.05,1207.7618,3.041666508,9.255565307
2105.21,-2323.8999,1209.3225,3.049999714,9.275115307
2095.3101,-2321.95,1209.5724,3.058333874,9.294865307
2085.3699,-2320.1899,1209.8074,3.06666708,9.314525307
2075.3999,-2318.6299,1208.747,3.075000286,9.333985307
2065.3999,-2317.26,1210.2929,3.083333492,9.353735307
2055.3699,-2316.0898,1210.5257,3.091666698,9.373385307
2045.3199,-2315.1099,1210.756,3.099999905,9.393045307
2035.25,-2314.3298,1209.6811,3.108333111,9.412605307
2025.1599,-2313.75,1211.2223,3.116666317,9.432260614
2015.0599,-2313.3699,1211.4453,3.125000477,9.452010614
2004.95,-2313.1799,1211.6688,3.133333683,9.471560614
1994.84,-2313.1899,1210.5881,3.141666889,9.491120614
1984.73,-2313.3999,1212.1252,3.150000095,9.510870614
1974.62,-2313.8101,1212.3377,3.158333302,9.530330614
1964.5199,-2314.4199,1212.5628,3.166666508,9.549990614
1954.4299,-2315.23,1211.4469,3.174999714,9.569740614
1944.36,-2316.23,1212.9748,3.183333874,9.589200614
1934.3099,-2317.4299,1213.1969,3.19166708,9.608850614
1924.2799,-2318.8298,1213.4025,3.200000286,9.628610614
1914.2799,-2320.4199,1212.2861,3.208333492,9.648070614
1904.3099,-2322.21,1213.8081,3.216666698,9.667720614
1894.38,-2324.2,1214.0097,3.224999905,9.687380614
1884.49,-2326.3799,1214.2117,3.233333111,9.706930614
1874.64,-2328.75,1213.1019,3.241666317,9.726490614
1864.84,-2331.3201,1214.6179,3.250000477,9.746240614
1855.09,-2334.0798,1214.8017,3.258333683,9.765800614
1845.39,-2337.03,1214.9979,3.266666889,9.785360614
1835.75,-2340.1699,1213.8604,3.275000095,9.805110614
1826.1699,-2343.5,1215.3734,3.283333302,9.824570614
1816.6599,-2347.02,1215.563,3.291666508,9.844230614
1807.22,-2350.72,1215.7449,3.299999714,9.863880614
1797.85,-2354.6099,1214.6019,3.308333874,9.883440614
1788.5599,-2358.6799,1216.1109,3.31666708,9.903000614
1779.35,-2362.9299,1216.2873,3.325000286,9.922750614
1770.22,-2367.3599,1216.4508,3.333333492,9.942210614
1761.1799,-2371.97,1215.3047,3.341666698,9.961860614
1752.23,-2376.76,1216.8014,3.349999905,9.981520614
1743.37,-2381.72,1216.9689,3.358333111,10.00107061
1734.61,-2386.8599,1217.1391,3.366666317,10.02063061
1725.95,-2392.1699,1215.9699,3.375000477,10.04038061
1717.3999,-2397.6499,1217.4657,3.383333683,10.05985061
1708.96,-2403.3,1217.6364,3.391666889,10.07940061
1700.63,-2409.1099,1217.8067,3.400000095,10.09915061
1692.4099,-2415.0798,1216.642,3.408333302,10.11862061
1684.3099,-2421.21,1218.1313,3.416666508,10.13827061
1676.33,-2427.5,1218.2871,3.424999714,10.15783061
1668.47,-2433.95,1218.4451,3.433333874,10.17739061
1660.74,-2440.55,1217.2694,3.44166708,10.19704061
1653.14,-2447.3,1218.7523,3.450000286,10.21660061
1645.6699,-2454.2,1218.902,3.458333492,10.23625061
1638.34,-2461.25,1219.0542,3.466666698,10.25581061
1631.15,-2468.4399,1217.8799,3.474999905,10.27537061
1624.1,-2475.77,1219.3598,3.483333111,10.29502061
1617.1899,-2483.24,1219.5021,3.491666317,10.31458061
1610.4299,-2490.8398,1219.6447,3.500000477,10.33414061
1603.8199,-2498.5798,1218.4456,3.508333683,10.35389061
1597.36,-2506.4399,1219.9209,3.516666889,10.37335061
1591.0499,-2514.4299,1220.07,3.525000095,10.39291061
1584.9,-2522.54,1220.2058,3.533333302,10.41247061
1578.9099,-2530.77,1219.0108,3.541666508,10.43212061
1573.08,-2539.1199,1220.4764,3.549999714,10.45168061
1567.4199,-2547.5798,1220.6145,3.558333874,10.47124061
1561.9199,-2556.1499,1220.7467,3.56666708,10.49089061
1556.59,-2564.8298,1219.5428,3.575000286,10.51045061
1551.4299,-2573.6099,1221.0025,3.583333492,10.53001061
1546.4399,-2582.49,1221.1334,3.591666698,10.54966061
1541.63,-2591.47,1221.2571,3.599999905,10.56913061
1536.99,-2600.54,1220.0535,3.608333111,10.58878061
1532.5299,-2609.7,1221.5114,3.616666317,10.60834061
1528.25,-2618.95,1221.6365,3.625000477,10.62790061
1524.15,-2628.28,1221.7626,3.633333683,10.64746061
1520.24,-2637.6899,1220.5475,3.641666889,10.66711061
1516.51,-2647.1799,1222.0061,3.650000095,10.68667061
1512.97,-2656.74,1222.1252,3.658333302,10.70623061
1509.62,-2666.3699,1222.2414,3.666666508,10.72578061
1506.45,-2676.0601,1221.0279,3.674999714,10.74534061
1503.47,-2685.8101,1222.4836,3.683333874,10.76490061
1500.6899,-2695.6199,1222.6045,3.69166708,10.78456061
1498.1,-2705.49,1222.7202,3.700000286,10.80411061
1495.7,-2715.4099,1221.4981,3.708333492,10.82367061
1493.49,-2725.3699,1222.9494,3.716666698,10.84323061
1491.48,-2735.3699,1223.0627,3.724999905,10.86279061
1489.6699,-2745.4099,1223.1759,3.733333111,10.88235061
1488.0499,-2755.49,1221.9555,3.741666317,10.90190061
1486.63,-2765.5999,1223.4045,3.750000477,10.92146061
1485.4099,-2775.73,1223.5136,3.758333683,10.94112061
1484.39,-2785.8899,1223.6123,3.766666889,10.96068061
1483.5699,-2796.0698,1222.3872,3.775000095,10.98023061
1482.9399,-2806.26,1223.8304,3.783333302,10.99979061
1482.51,-2816.46,1223.9357,3.791666508,11.01935061
1482.2799,-2826.6699,1224.0392,3.799999714,11.03891061
1482.25,-2836.8799,1222.8058,3.808333874,11.05847061
1482.4199,-2847.0898,1224.2419,3.81666708,11.07812061
1482.7899,-2857.3,1224.3357,3.825000286,11.09758061
1483.36,-2867.5,1224.439,3.833333492,11.11724061
1484.13,-2877.6899,1223.1915,3.841666698,11.13680061
1485.1,-2887.8599,1224.6247,3.849999905,11.15635061
1486.27,-2898.01,1224.7169,3.858333111,11.17591061
1487.64,-2908.1399,1224.8154,3.866666317,11.19547061
1489.21,-2918.24,1223.5703,3.875000477,11.21503061
1490.97,-2928.3098,1225.0068,3.883333683,11.23459061
